geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
esp,Spain,25.638,25.747,24.949,24.826,25.529,26.257,27.398,28.182,30.174,32.377,33.5,35.162,36.568,38.02,40.637,42.192,43.348,43.521,41.766,41.252,40.883,39.653,38.738,39.245,40.224,41.257,42.327,43.036,43.708,42.038,43.625,44.797,45.507,45.714,45.715,45.447
est,Estonia,57.387,53.844,51.074,50.325,48.948,48.576,49.094,48.225,46.657,46.471,45.106,46.602,46.847,48.502,49.817,51.604,51.991,51.97,49.08,47.31,49.178,50.341,50.828,50.824,52.221,52.827,54.018,54.271,54.516,53.264,54.574,57.095,56.997,55.703,55.465,55.322
eth,Ethiopia,72.257,72.156,72.237,72.311,72.189,71.928,71.671,71.295,70.932,71.129,71.433,71.549,71.622,71.852,72.124,72.218,72.18,72.154,72.12,72.114,72.103,72.088,72.061,69.946,67.861,65.758,63.663,61.544,59.449,56.075,54.514,54.788,54.683,54.59,54.523,54.471
fin,Finland,54.496,50.755,47.451,46.581,45.811,46.069,46.534,47.58,49.312,49.783,51.118,51.876,51.904,51.484,52.544,53.008,53.207,53.535,52.557,51.603,51.784,51.925,51.391,50.9,50.508,50.263,50.412,51.624,52.241,51.046,51.988,53.621,53.802,53.145,53.552,53.544
fji,Fiji,37.414,37.324,37.276,37.26,37.206,37.17,36.734,36.334,35.965,35.575,35.188,34.764,34.389,34.016,33.168,34.865,36.549,38.293,40.044,41.841,43.631,42.208,40.797,39.413,37.899,36.375,36.368,36.369,36.372,35.851,36.033,36.395,36.458,36.368,36.286,36.21
fra,France,41.055,40.831,40.958,40.585,41.054,41.165,40.848,41.278,41.708,42.612,43.242,43.777,45.215,44.684,45.201,45.368,46.269,46.723,46.286,46.154,46.043,46.093,46.302,45.908,45.924,45.822,45.881,46.211,46.389,46.071,47.581,48.169,48.092,47.885,47.674,47.525
gab,Gabon,31.321,31.23,31.196,30.959,30.863,30.688,30.536,30.367,30.165,29.952,29.806,29.87,29.851,29.763,29.747,29.419,29.231,28.893,28.719,28.441,28.859,29.167,29.316,29.431,29.556,29.609,29.634,29.651,29.743,27.328,27.875,29.713,29.772,29.765,29.712,29.641
gbr,UK,48.002,47.973,47.863,48.06,48.262,48.962,49.613,49.892,50.517,51.05,51.33,51.783,51.91,52.247,52.446,52.58,52.338,52.568,51.969,51.625,51.508,51.639,52.227,53.095,53.673,54.359,54.774,55.188,56.029,55.825,55.336,55.64,55.266,55.126,55.147,55.056
geo,Georgia,56.332,55.449,56.121,55.187,55.161,51.968,51.103,49.135,51.252,49.497,52.143,49.985,51.096,50.345,49.009,47.547,48.156,44.774,44.318,46.097,46.474,46.853,47.398,49.127,50.863,50.73,49.619,49.469,49.149,49.553,47.471,49.299,49.452,49.427,49.325,49.169
gha,Ghana,73.785,71.793,71.037,70.183,69.392,68.585,67.817,67.038,65.212,64.831,65.024,65.242,65.496,65.727,65.929,66.104,65.456,64.907,64.249,63.708,64.061,64.349,64.539,62.687,60.775,61.272,61.946,61.587,61.214,60.058,59.994,59.701,59.712,59.467,59.278,59.128
gin,Guinea,60.988,60.951,60.936,60.928,60.924,60.894,60.836,60.745,60.702,60.616,60.536,60.515,59.323,58.122,56.903,55.712,54.587,53.399,52.149,50.899,49.704,48.597,47.36,46.105,44.845,43.729,42.605,41.421,40.131,39.383,39.575,39.902,39.866,39.436,39.098,38.822
gmb,Gambia,39.39,39.305,39.268,39.108,38.988,38.948,39.11,39.181,39.372,39.462,39.596,39.191,39.338,39.488,39.33,39.049,38.951,39.231,39.487,39.626,38.938,38.965,39.635,40.354,41.102,41.798,42.65,43.533,43.432,42.853,42.695,42.724,42.629,42.594,42.584,42.553
gnb,Guinea-Bissau,54.179,54.169,54.152,54.143,54.168,54.232,54.268,54.107,54.067,54.084,54.289,54.3,54.292,54.316,54.363,54.385,54.402,54.413,54.44,54.472,54.524,54.522,54.543,54.536,54.623,54.691,54.781,54.829,55.378,54.755,55.138,55.383,55.459,55.418,55.375,55.331
gnq,Equatorial Guinea,48.647,48.63,48.637,48.631,48.644,48.627,48.614,48.584,48.536,48.487,48.25,48.07,47.873,47.741,47.58,47.527,47.496,47.51,47.492,47.521,47.719,47.993,48.31,48.567,48.714,48.87,48.987,49.078,49.003,45.845,46.361,48.308,48.028,48.078,47.841,47.699
grc,Greece,28.856,29.853,29.442,30.251,30.83,31.327,31.433,31.955,32.199,32.602,32.388,33.042,33.751,34.273,34.775,35.866,36.108,36.802,36.922,36.125,33.723,30.979,29.508,30.25,31.263,31.738,32.44,32.951,34.287,34.489,35.108,37.146,38.29,38.713,38.875,38.66
gtm,Guatemala,38.306,38.556,38.735,38.91,39.157,39.219,39.445,39.733,39.944,40.086,40.076,40.29,40.397,40.622,40.495,40.456,40.431,40.346,40.158,40.001,38.605,43.426,38.232,38.623,37.07,38.147,37.287,37.325,36.014,35.007,36.639,38.614,39.195,39.224,39.212,39.185
guy,Guyana,31.558,32.462,33.413,32.985,32.508,32.053,31.572,31.041,30.519,29.968,29.517,29.007,29.681,30.335,30.966,31.667,32.118,32.542,32.908,33.246,33.634,34.015,34.387,34.726,35.054,35.443,35.862,36.352,34.547,33.326,33.708,34.974,34.897,35.524,35.3,35.089
hnd,Honduras,41.472,42.921,43.273,43.046,43.356,42.895,43.647,43.363,43.396,41.714,41.237,40.536,39.41,38.3,38.716,36.751,36.181,37.911,39.153,40.327,37.13,36.305,40.125,41.676,42.367,41.754,42.077,46.715,43.262,40.853,44.297,42.168,36.171,36.021,35.972,35.927
hrv,Croatia,41.409,41.205,40.944,40.793,40.64,40.554,40.316,39.26,38.041,36.71,36.373,36.492,37.193,38.295,39.11,39.66,39.946,40.927,41.594,40.365,38.373,37.295,36.978,37.803,38.807,38.965,39.909,40.973,41.691,41.106,42.018,43.213,44.022,44.349,44.297,44.156
hti,Haiti,51.877,51.904,51.874,51.721,52.057,52.157,52.329,52.176,52.121,51.295,50.749,50.198,49.737,49.181,48.703,48.207,47.969,48.602,49.396,49.692,50.5,50.608,51.259,51.385,51.483,51.503,51.654,51.751,51.417,49.978,50.607,49.768,49.471,49.065,49.123,49.283
hun,Hungary,42.228,41.551,40.705,41.141,41.382,41.179,41.69,41.611,42.558,43.003,43.726,43.913,43.957,43.951,43.345,43.199,43.149,42.874,41.388,41.666,41.697,42.419,42.901,45.019,46.389,48.234,48.724,49.531,49.616,49.079,50.087,51.267,51.701,51.45,51.365,51.368
idn,Indonesia,48.064,48.883,47.927,48.065,47.879,47.689,47.014,47.967,47.65,48.205,46.3,44.278,43.873,42.903,41.455,41.74,44.907,46.305,46.931,47.716,48.152,49.027,48.55,48.673,48.523,48.979,50.133,50.908,52.141,51.195,50.426,50.903,50.925,50.967,50.987,50.992
ind,India,27.977,28.089,28.202,28.367,28.927,29.497,30.045,30.604,31.181,31.753,31.824,31.873,31.979,32.082,32.196,30.946,29.724,28.509,27.352,26.232,25.465,24.696,24.604,24.561,24.55,24.551,24.549,24.53,24.937,24.243,26.229,28.127,29.976,31.367,31.253,31.281
irl,Ireland,35.518,36.464,37.428,38.783,40.886,42.634,43.588,46.246,48.075,49.806,50.625,51.189,51.139,51.325,52.911,53.456,54.161,53.587,50.768,48.944,48.063,47.741,48.368,48.915,49.927,51.314,52.09,52.812,53.573,51.945,54.272,56.461,57.443,57.574,57.653,57.807
irn,Iran,7.366,7.696,7.978,8.295,8.709,9.168,9.62,10.077,10.525,11.038,11.547,12.113,13.363,14.711,15.379,15.051,14.255,12.252,13.009,11.985,10.715,11.924,10.673,10.408,11.543,12.793,13.885,14.035,13.848,11.563,10.979,11.329,11.446,11.352,11.298,11.206
irq,Iraq,8.119,8.155,8.165,8.182,8.182,8.188,8.217,8.503,8.791,9.079,9.366,9.652,9.95,10.3,10.655,11.024,11.375,11.186,10.98,10.784,10.583,10.406,10.595,10.727,11.028,11.406,7.847,7.977,8.099,7.699,7.826,7.705,7.626,7.517,7.468,7.442
isl,Iceland,64.257,63.741,63.571,64.072,66.644,66.296,65.012,66.713,69.189,71.497,70.883,69.78,69.142,68.46,69.09,69.481,69.658,68.776,66.142,65.658,65.629,66.546,67.394,68.381,69.772,70.715,70.555,69.716,69.161,65.626,64.747,68.18,68.185,68.205,68.149,68.07
isr,Israel,39.021,39.762,41.785,44.44,46.117,46.478,45.799,45.567,46.409,47.5,47.276,46.5,46.692,47.14,48.849,49.508,50.651,51.781,51.886,52.896,53.155,55.254,55.528,56.655,56.922,57.473,57.726,58.497,58.286,57.043,56.872,58.92,59.67,60.078,60.298,60.598
ita,Italy,29.884,29.168,28.392,28.028,27.803,28.306,28.415,28.773,29.439,30.14,31.188,31.745,32.406,34.225,33.96,34.562,34.719,35.133,34.449,34.244,34.434,34.711,34.184,34.262,34.391,34.95,35.551,35.937,36.346,35.483,35.644,36.727,37.693,38.041,37.855,37.559
jam,Jamaica,58.23,57.73,57.474,56.974,56.519,55.793,55.189,54.504,53.663,52.938,52.263,51.922,51.616,51.642,51.458,51.239,51.019,50.751,48.855,47.234,47.244,47.074,47.155,48.123,51.822,51.093,52.912,54.255,56.022,53.298,54.691,57.681,57.687,57.504,57.538,57.44
jor,Jordan,7.624,7.937,8.026,8.116,8.112,8.794,8.902,9.009,9.16,9.326,8.964,9.262,8.582,8.5,8.403,8.645,10.641,10.486,11.017,11.295,11.344,11.074,10.058,9.719,10.504,11.427,12.071,11.119,10.402,11.179,10.309,10.181,10.284,10.249,10.253,10.266
jpn,Japan,49.501,49.532,48.914,48.622,48.287,48.259,48.623,48.075,47.31,46.974,46.728,45.977,45.805,46.035,46.249,46.502,46.566,46.496,46.122,46.115,46.095,46.083,46.944,47.52,47.883,48.785,49.681,51.199,52.086,51.747,52.15,52.877,53.574,54.019,54.35,54.693
kaz,Kazakhstan,64.329,64.167,64.016,59.236,56.66,55.079,55.061,55.205,55.172,55.772,57.449,57.891,58.063,57.821,58.307,58.881,59.696,60.728,61.27,62.274,62.98,63.12,63.846,64.162,64.276,64.211,64.321,64.375,64.41,62.955,63.124,63.298,62.967,62.41,61.874,61.301
ken,Kenya,67.919,67.881,67.87,67.938,68.065,68.167,68.187,68.223,68.256,68.311,68.372,68.399,68.488,68.561,68.691,68.793,68.872,68.853,68.865,68.939,69.063,69.137,69.136,69.192,69.255,69.318,66.111,62.842,59.507,57.976,57.869,57.654,57.72,57.579,57.447,57.321
kgz,Kyrgyz Republic,59.935,61.199,62.642,64.804,65.439,64.824,63.97,63.85,63.56,63.064,62.569,62.562,61.927,61.322,61.349,61.048,60.279,59.563,59.322,59.356,58.191,55.181,52.765,52.623,52.745,51.887,49.066,50.031,49.414,50.434,50.291,50.652,50.802,51.084,50.974,50.848
khm,Cambodia,77.147,77.089,77.133,78.5,78.28,78.177,78.536,78.388,78.02,77.247,76.467,75.653,74.858,74.572,74.318,74.057,73.794,71.35,76.943,80.629,81.452,77.975,74.017,73.873,73.082,75.273,76.283,76.719,77.162,76.929,73.404,73.81,73.798,73.731,73.668,73.618
kor,South Korea,46.282,46.193,46.1,46.985,47.634,48.176,48.68,44.464,45.254,47.756,48.504,49.116,47.978,49.081,49.096,49.458,49.434,49.144,48.246,48.355,48.675,49.006,49.385,50.304,50.567,50.708,51.224,51.259,51.847,51.016,51.643,53.361,54.512,54.568,54.454,54.253
